"mu_(('A', 1), 0)","mu_(('A', 1), ('A', 1))","mu_(('A', 1), ('A', 2))","mu_(('A', 1), ('B', 1))","mu_(('A', 1), ('B', 2))","mu_(('A', 2), 0)","mu_(('A', 2), ('A', 1))","mu_(('A', 2), ('A', 2))","mu_(('A', 2), ('B', 1))","mu_(('A', 2), ('B', 2))","mu_(('B', 1), 0)","mu_(('B', 1), ('A', 1))","mu_(('B', 1), ('A', 2))","mu_(('B', 1), ('B', 1))","mu_(('B', 1), ('B', 2))","mu_(('B', 2), 0)","mu_(('B', 2), ('A', 1))","mu_(('B', 2), ('A', 2))","mu_(('B', 2), ('B', 1))","mu_(('B', 2), ('B', 2))",N_A_1,N_A_2,N_B_1,N_B_2,total_individuals,term,major
0.18918918918918917,0.6486486486486487,0.16216216216216217,0.0,0.0,0.14285714285714288,0.28571428571428575,0.4761904761904762,0.0,0.09523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6090909090909091,0.35454545454545455,0.0,0.03636363636363636,60,201610,Administración
0.2,0.4,0.2,0.2,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.10000000000000002,0.10000000000000002,0.0,0.8000000000000002,0.0,0.5,0.0,0.5,0.0,0.0,0.20930232558139536,0.27906976744186046,0.4418604651162791,0.06976744186046512,23,201610,Antropología
0.1388888888888889,0.5555555555555556,0.19444444444444445,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.0,0.047619047619047616,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.4,0.5775862068965517,0.3017241379310345,0.034482758620689655,0.08620689655172414,64,201610,Arquitectura
0.2,0.6,0.1,0.1,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.25,0.25,0.0,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.15384615384615385,23,201610,Artes
0.09090909090909091,0.7272727272727273,0.18181818181818182,0.0,0.0,0.07692307692307691,0.15384615384615383,0.6153846153846153,0.0,0.15384615384615383,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.375,0.0,0.25,0.125,0.25,0.3230769230769231,0.38461538461538464,0.09230769230769231,0.2,35,201610,Biología
0.38461538461538464,0.15384615384615383,0.23076923076923075,0.23076923076923075,0.0,0.06896551724137931,0.10344827586206898,0.6896551724137931,0.034482758620689655,0.10344827586206898,0.12500000000000003,0.37500000000000006,0.12500000000000003,0.25000000000000006,0.12500000000000003,0.0,0.0,0.5000000000000001,0.16666666666666669,0.33333333333333337,0.20192307692307693,0.5384615384615384,0.14423076923076922,0.11538461538461539,56,201610,Cpol
0.10344827586206898,0.48275862068965525,0.10344827586206898,0.24137931034482762,0.06896551724137932,0.16129032258064516,0.0967741935483871,0.7096774193548387,0.03225806451612903,0.0,0.13333333333333333,0.46666666666666656,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.4,0.4,0.0,0.2,0.0,0.3716216216216216,0.38513513513513514,0.1891891891891892,0.05405405405405406,80,201610,Derecho
0.2,0.24,0.43999999999999995,0.08,0.04,0.11764705882352942,0.3235294117647059,0.4705882352941177,0.0,0.08823529411764706,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.25,0.75,0.0,0.0,0.3543307086614173,0.5039370078740157,0.07874015748031496,0.06299212598425197,69,201610,Diseño
0.13636363636363635,0.5454545454545454,0.1590909090909091,0.1590909090909091,0.0,0.13636363636363635,0.3181818181818182,0.5454545454545454,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.5503355704697986,0.2751677852348993,0.10738255033557047,0.06711409395973154,81,201610,Economía
0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,8,201610,Filosofía
0.2857142857142857,0.5714285714285714,0.07142857142857142,0.0,0.07142857142857142,0.14285714285714288,0.14285714285714288,0.5714285714285715,0.0,0.14285714285714288,0.4285714285714286,0.0,0.0,0.5714285714285714,0.0,0.0,0.5,0.5,0.0,0.0,0.46153846153846156,0.25,0.21153846153846154,0.07692307692307693,30,201610,Física
0.1875,0.5,0.125,0.1875,0.0,0.0,0.4,0.4,0.2,0.0,0.2,0.6,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5918367346938775,0.20408163265306123,0.1836734693877551,0.02040816326530612,27,201610,Geociencias
0.17391304347826086,0.6086956521739131,0.0,0.2173913043478261,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.6774193548387096,0.06451612903225806,0.25806451612903225,0.0,36,201610,GobPolítica
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,3,201610,HistArte
0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,4,201610,Historia
0.2272727272727273,0.27272727272727276,0.27272727272727276,0.13636363636363638,0.09090909090909091,0.05,0.3,0.3,0.25,0.1,0.26666666666666666,0.19999999999999998,0.3333333333333333,0.0,0.19999999999999998,0.0,0.22222222222222224,0.22222222222222224,0.33333333333333337,0.22222222222222224,0.319672131147541,0.319672131147541,0.21311475409836064,0.14754098360655737,66,201610,IngAmbiental
0.25,0.5,0.0,0.17857142857142858,0.07142857142857142,0.049999999999999996,0.0,0.6,0.0,0.35000000000000003,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.2142857142857143,0.14285714285714288,0.5000000000000001,0.0,0.14285714285714288,0.3858267716535433,0.30708661417322836,0.11023622047244094,0.1968503937007874,69,201610,IngBiomédica
0.15384615384615385,0.38461538461538464,0.038461538461538464,0.34615384615384615,0.07692307692307693,0.17391304347826086,0.043478260869565216,0.5217391304347826,0.043478260869565216,0.21739130434782608,0.1111111111111111,0.5,0.05555555555555555,0.3333333333333333,0.0,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.0,0.14285714285714285,0.32653061224489793,0.2857142857142857,0.23129251700680273,0.1564625850340136,81,201610,IngCivil
0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5454545454545455,0.0,0.17857142857142855,0.03571428571428571,0.5,0.03571428571428571,0.25,0.10526315789473685,0.31578947368421056,0.052631578947368425,0.4210526315789474,0.10526315789473685,0.08333333333333331,0.0,0.5833333333333333,0.16666666666666663,0.16666666666666663,0.15384615384615385,0.3923076923076923,0.27692307692307694,0.17692307692307693,70,201610,IngElectrónica
