Major,semester,mean_no counterfactual,mean_50%,mean_100%,mean_150%,diff_50%,pval_50%,tag_50%,diff_100%,pval_100%,tag_100%,diff_150%,pval_150%,tag_150%
Administración,201610,0.17169026592865347,0.1747273631478964,0.1724755673238758,0.17930189306204575,0.003037097219242918,0.29556926331726924,Not significant,0.0007853013952223431,0.7772095857028725,Not significant,0.007611627133392279,0.005449875650268356,Significant
Antropología,201610,0.763416703587747,2.044969553612693,,,1.281552850024946,0.0,Significant,,,NA,,,NA
Arquitectura,201610,0.22946864409741544,0.250651477874845,0.289356276983856,0.32681928326002013,0.02118283377742955,1.833905193737187e-24,Significant,0.059887632886440584,1.3559250614484572e-176,Significant,0.0973506391626047,0.0,Significant
Artes,201610,0.3711566812134234,0.5053183219771401,0.7549596584904523,1.351626218503672,0.13416164076371673,2.034528585105547e-247,Significant,0.38380297727702894,0.0,Significant,0.9804695372902487,6.324093079862055e-89,Significant
Biología,201610,0.37841627195740035,0.5851936178130369,1.0139041356784548,1.7918211523617986,0.20677734585563656,0.0,Significant,0.6354878637210545,0.0,Significant,1.4134048804043982,0.0,Significant
Cpol,201610,0.34185429047225385,0.43928879162946005,0.6202048646023078,0.9860659347793324,0.0974345011572062,4.164840190977197e-181,Significant,0.278350574130054,0.0,Significant,0.6442116443070784,0.0,Significant
Derecho,201610,0.27801796768471365,0.3844923288760536,0.543071475441228,0.8574257598206452,0.10647436119133996,0.0,Significant,0.2650535077565144,0.0,Significant,0.5794077921359315,0.0,Significant
Diseño,201610,0.1989575411872002,0.22772320030060078,0.25752812302345823,0.3366342815490755,0.028765659113400593,1.2652488447693738e-39,Significant,0.058570581836258045,3.235522466835536e-137,Significant,0.1376767403618753,0.0,Significant
Economía,201610,0.22807521824863947,0.27832475407124024,0.3635124262402115,0.46484776037385295,0.05024953582260078,4.654809117758713e-137,Significant,0.13543720799157205,0.0,Significant,0.23677254212521348,0.0,Significant
Filosofía,201610,0.5694394525682289,0.8103503262028764,1.8304610733159596,3.61439424446856,0.24091087363464747,0.0,Significant,1.2610216207477307,0.0,Significant,3.044954791900331,0.0,Significant
Física,201610,0.41606328437664997,0.5943347217689677,0.8885402543378548,1.448278854045405,0.17827143739231777,3.4876086985493997e-252,Significant,0.4724769699612048,0.0,Significant,1.0322155696687552,0.0,Significant
Geociencias,201610,0.17583646766606464,0.28545608917110893,0.48317560709569146,0.5651829974244633,0.10961962150504428,0.0,Significant,0.3073391394296268,0.0,Significant,0.3893465297583987,0.0,Significant
GobPolítica,201610,0.3493879580706478,0.3922207670633503,0.4642877145873652,0.7274169044355684,0.042832808992702476,4.686545955639115e-13,Significant,0.11489975651671736,5.046080966711101e-83,Significant,0.37802894636492057,7.154717537740004e-162,Significant
Historia,201610,0.14829715122622636,0.14829715122622636,0.30196081165036515,0.30196081165036515,0.0,1.0,Not significant,0.1536636604241388,0.0,Significant,0.1536636604241388,0.0,Significant
IngAmbiental,201610,0.40578489753209723,0.6895887484870489,1.4835718701765874,4.866384964742733,0.28380385095495164,0.0,Significant,1.0777869726444902,0.0,Significant,4.460600067210636,0.0,Significant
