Agent,Subset,Preference Class
"('A', 1)",(),"[(('A', 1), 0)]"
"('A', 1)","(('A', 1),)","[(('A', 1), 0), (('A', 1), ('A', 1))]"
"('A', 1)","(('A', 2),)","[(('A', 1), 0), (('A', 1), ('A', 2))]"
"('A', 1)","(('B', 1),)","[(('A', 1), 0), (('A', 1), ('B', 1))]"
"('A', 1)","(('B', 2),)","[(('A', 1), 0), (('A', 1), ('B', 2))]"
"('A', 1)","(('A', 1), ('A', 2))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('A', 2))]"
"('A', 1)","(('A', 1), ('B', 1))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('B', 1))]"
"('A', 1)","(('A', 1), ('B', 2))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('B', 2))]"
"('A', 1)","(('A', 2), ('B', 1))","[(('A', 1), 0), (('A', 1), ('A', 2)), (('A', 1), ('B', 1))]"
"('A', 1)","(('A', 2), ('B', 2))","[(('A', 1), 0), (('A', 1), ('A', 2)), (('A', 1), ('B', 2))]"
"('A', 1)","(('B', 1), ('B', 2))","[(('A', 1), 0), (('A', 1), ('B', 1)), (('A', 1), ('B', 2))]"
"('A', 1)","(('A', 1), ('A', 2), ('B', 1))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('A', 2)), (('A', 1), ('B', 1))]"
"('A', 1)","(('A', 1), ('A', 2), ('B', 2))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('A', 2)), (('A', 1), ('B', 2))]"
"('A', 1)","(('A', 1), ('B', 1), ('B', 2))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('B', 1)), (('A', 1), ('B', 2))]"
"('A', 1)","(('A', 2), ('B', 1), ('B', 2))","[(('A', 1), 0), (('A', 1), ('A', 2)), (('A', 1), ('B', 1)), (('A', 1), ('B', 2))]"
"('A', 1)","(('A', 1), ('A', 2), ('B', 1), ('B', 2))","[(('A', 1), 0), (('A', 1), ('A', 1)), (('A', 1), ('A', 2)), (('A', 1), ('B', 1)), (('A', 1), ('B', 2))]"
"('A', 2)",(),"[(('A', 2), 0)]"
"('A', 2)","(('A', 1),)","[(('A', 2), 0), (('A', 2), ('A', 1))]"
"('A', 2)","(('A', 2),)","[(('A', 2), 0), (('A', 2), ('A', 2))]"
"('A', 2)","(('B', 1),)","[(('A', 2), 0), (('A', 2), ('B', 1))]"
"('A', 2)","(('B', 2),)","[(('A', 2), 0), (('A', 2), ('B', 2))]"
"('A', 2)","(('A', 1), ('A', 2))","[(('A', 2), 0), (('A', 2), ('A', 1)), (('A', 2), ('A', 2))]"
"('A', 2)","(('A', 1), ('B', 1))","[(('A', 2), 0), (('A', 2), ('A', 1)), (('A', 2), ('B', 1))]"
"('A', 2)","(('A', 1), ('B', 2))","[(('A', 2), 0), (('A', 2), ('A', 1)), (('A', 2), ('B', 2))]"
"('A', 2)","(('A', 2), ('B', 1))","[(('A', 2), 0), (('A', 2), ('A', 2)), (('A', 2), ('B', 1))]"
"('A', 2)","(('A', 2), ('B', 2))","[(('A', 2), 0), (('A', 2), ('A', 2)), (('A', 2), ('B', 2))]"
"('A', 2)","(('B', 1), ('B', 2))","[(('A', 2), 0), (('A', 2), ('B', 1)), (('A', 2), ('B', 2))]"
"('A', 2)","(('A', 1), ('A', 2), ('B', 1))","[(('A', 2), 0), (('A', 2), ('A', 1)), (('A', 2), ('A', 2)), (('A', 2), ('B', 1))]"
"('A', 2)","(('A', 1), ('A', 2), ('B', 2))","[(('A', 2), 0), (('A', 2), ('A', 1)), (('A', 2), ('A', 2)), (('A', 2), ('B', 2))]"
